,AUC (pixel),AUPRO
bottle,0.9097454745901725,0.8454294875324196
cable,0.8886604797640772,0.6396166082246489
capsule,0.860855319906105,0.6222126780679802
hazelnut,0.9644786463302905,0.9415976191136448
metal_nut,0.7577634268392155,0.7349049129518103
pill,0.9489019537422485,0.7956432183115689
screw,0.9647089736541594,0.8484995187940122
toothbrush,0.9109024512849209,0.716798687760175
transistor,0.6753100373018105,0.47800794091346105
zipper,0.9801536362082527,0.9228900635829945
average,0.8861480399621252,0.7545600735252715
